# ClearVision operator quality audit matrix; durable docs record date=2026-08-25
# Source audit=e76c74e392bb14ffe02ef9ea9c7a614cb8987f04; current HEAD=ee00cc7aa83ef2b2548e31ffafaff141e2606c5f; relevant source diff=0
# U=RUNTIME_OUTPUT_UNDOCUMENTED; D=RUNTIME_OUTPUT_DYNAMIC_UNPROVEN; P=GET_PARAM_DEFAULT_MISMATCH; N=OUTPUT_KEY_NO_SUCCESS_PATH; S=SURFACE_IDENTITY_MISMATCH
# NR=no confirmed operator-specific defect after static cross-layer review; low-confidence analyzer signals remain visible in U/D/P/N/S
# PF=common typed preview/state/fallback reviewed; no per-operator real hardware/model/database execution
# PS=side-effect preview blocking/summary contract reviewed; no real external I/O
# F01 is cross-cutting: legacy placeholder/empty port-ID migration can affect any matching row and is not repeated per row
# F07 is cross-cutting: blocked/auth-error module-result status contradiction applies to the preview panel and is not repeated per row
operator,category,declared_inputs,declared_outputs,declared_properties,output_types,U,D,P,N,S,manual_review,preview_review
PixelStatistics,特征提取,2,14,5,Float+Float+Float+Float+Float+Float+Float+Float+Integer+Integer+String+Any+String+Any,4,0,0,0,0,NR,PF
SharpnessEvaluation,特征提取,1,3,8,Float+Boolean+Image,15,0,0,1,0,NR,PF
SubpixelEdgeDetection,特征提取,1,2,5,Image+Any,11,1,0,0,0,NR,PF
AkazeFeatureMatch,匹配与定位,2,13,14,Image+Point+Point+Boolean+Float+Float+Float+Float+Float+Integer+Boolean+PointList+String,8,1,0,0,0,NR,PF
ContourExtrema,匹配与定位,3,6,0,Any+Any+Any+Image+Float+Float,1,1,0,0,0,NR,PF
EdgeIntersection,匹配与定位,2,4,1,Point+Float+Boolean+Boolean,0,0,0,0,0,NR,PF
GradientShapeMatch,匹配与定位,2,6,12,Image+Point+Float+Boolean+Float+Any,11,1,0,0,0,NR,PF
LocalDeformableMatching,匹配与定位,2,6,15,Image+Any+Any+Integer+Any+Image,16,1,0,0,0,NR,PF
OrbFeatureMatch,匹配与定位,2,13,17,Image+Point+Point+Boolean+Float+Float+Float+Float+Float+Integer+Boolean+PointList+String,8,1,0,0,0,NR,PF
ParallelLineFind,匹配与定位,1,6,4,Image+LineData+LineData+Float+Float+Integer,0,1,0,0,0,NR,PF
PlanarMatching,匹配与定位,2,19,20,Image+Boolean+Float+Integer+String+String+Float+Integer+Float+Float+Float+Float+Integer+Boolean+String+Boolean+Any+Any+PointList,8,1,0,0,0,NR,PF
PointAlignment,匹配与定位,2,3,2,Float+Float+Float,0,0,0,0,0,NR,PF
PointCorrection,匹配与定位,4,5,4,Float+Float+Float+Any+String,0,0,0,5,0,NR,PF
PositionCorrection,匹配与定位,4,10,3,Integer+Integer+Float+Float+Float+Float+Float+Any+Point+String,0,0,0,0,0,NR,PF
PyramidShapeMatch,匹配与定位,2,5,15,Image+Point+Float+Boolean+Float,8,1,0,0,0,OAR011-FIXED,PF
QuadrilateralFind,匹配与定位,1,6,4,Image+PointList+PointList+Integer+Float+Point,0,1,0,0,0,NR,PF
RectangleDetection,匹配与定位,1,10,4,Image+Any+Integer+Point+Float+Float+Float+Float+Float+Float,0,1,0,0,0,NR,PF
RoiTransform,匹配与定位,2,1,1,Rectangle,0,0,0,0,0,NR,PF
ShapeMatching,匹配与定位,2,2,13,Image+Any,9,1,0,0,0,NR,PF
TemplateMatching,匹配与定位,3,13,20,Image+Point+Float+Float+Float+Float+Float+Float+Float+Float+Boolean+Any+Integer,20,1,0,0,0,NR,PF
DetectionSequenceJudge,缺陷检测,4,13,13,Boolean+Any+Integer+Any+Any+DetectionList+Any+DetectionList+Any+Integer+Boolean+Any+String,4,0,0,0,0,NR,PF
DualModalVoting,缺陷检测,2,3,6,Boolean+Float+String,0,0,0,0,0,NR,PF
EdgePairDefect,缺陷检测,3,4,4,Image+Integer+Float+Any,0,1,0,0,0,NR,PF
SurfaceDefectDetection,缺陷检测,2,8,24,Image+Image+Image+Integer+Float+Float+String+Any,0,1,0,0,0,NR,PF
AngleMeasurement,测量,6,3,7,Image+Float+Point,7,1,0,0,0,NR,PF
ArcCaliper,测量,7,2,0,Any+Image,3,1,0,0,0,NR,PF
CaliperTool,测量,2,9,9,Image+Float+PointList+Integer+Any+Float+Float+Any+Any,13,1,0,0,0,NR,PF
CircleMeasurement,测量,1,14,26,Image+Float+Point+CircleData+Integer+Float+Any+Any+PointList+PointList+PointList+Any+Any+Any,7,1,0,0,0,NR,PF
ColorMeasurement,测量,2,8,9,Any+Any+Float+Float+Float+Float+Boolean+Image,2,1,0,0,0,NR,PF
ContourMeasurement,测量,1,4,4,Image+Float+Float+Integer,5,1,0,0,0,NR,PF
GapMeasurement,测量,2,9,8,Image+Any+Float+Float+Float+Float+Float+Float+Integer,11,1,0,0,0,NR,PF
GeoMeasurement,测量,2,5,3,Float+Float+Point+Point+String,9,0,0,0,0,NR,PF
GeometricFitting,测量,1,2,8,Image+Any,8,1,0,0,0,NR,PF
GeometricTolerance,测量,5,7,5,Image+Float+Float+Float+Float+String+Boolean,8,1,0,0,0,NR,PF
LineLineDistance,测量,2,5,3,Float+Float+Point+Boolean+Boolean,6,0,0,0,0,NR,PF
LineMeasurement,测量,1,6,5,Image+Float+Float+LineData+Integer+Any,9,1,0,0,0,NR,PF
Measurement,测量,6,17,8,Image+Float+Float+Float+Float+Float+String+String+String+String+Point+Point+Boolean+Boolean+Float+Float+Float,5,1,0,0,0,F02,PF
MinEnclosingGeometry,测量,1,2,10,Image+Any,5,1,0,0,0,NR,PF
PhaseClosure,测量,4,4,0,Image+Image+Float+Image,3,1,0,0,0,NR,PF
PointLineDistance,测量,2,2,2,Float+Point,8,0,0,0,0,NR,PF
WidthMeasurement,测量,3,8,8,Image+Float+Float+Float+Float+Float+Float+Float,12,1,1,0,0,OAR015-FALSE-POSITIVE,PF
CalibrationLoader,标定与坐标,0,3,1,String+Any+Boolean,0,0,0,0,0,NR,PF
CameraCalibration,标定与坐标,1,2,7,Image+String,13,1,0,0,0,NR,PF
CoordinateTransform,标定与坐标,4,3,2,Image+Float+Float,7,1,0,0,0,NR,PF
FisheyeCalibration,标定与坐标,1,2,9,Image+String,9,1,0,0,0,NR,PF
FisheyeUndistort,标定与坐标,2,2,4,Image+Image,10,1,0,0,0,NR,PF
HandEyeCalibration,标定与坐标,2,7,4,String+Float+String+String+String+Any+String,0,0,0,0,0,NR,PF
HandEyeCalibrationValidator,标定与坐标,3,8,1,String+Float+Float+Float+String+String+Any+String,0,0,0,0,0,NR,PF
NPointCalibration,标定与坐标,1,9,10,String+Float+Float+Float+Float+Float+Float+Float+String,13,1,0,0,0,NR,PF
PixelToWorldTransform,标定与坐标,3,3,11,Image+PointList+Any,4,1,0,0,0,NR,PF
StereoCalibration,标定与坐标,2,6,11,Image+String+Any+Any+Any+Any,26,1,0,0,0,NR,PF
TranslationRotationCalibration,标定与坐标,1,16,8,String+Float+Float+Boolean+String+Float+Boolean+String+Integer+Integer+Any+Any+Float+Float+Any+Any,0,1,0,0,0,NR,PF
Undistort,标定与坐标,2,1,0,Image,6,1,0,0,0,NR,PF
AnomalyDetection,AI推理,2,8,17,Float+Boolean+Image+Image+String+Integer+Float+Any,0,1,0,0,0,NR,PF
DeepLearning,AI推理,1,31,27,Image+Image+DetectionList+DetectionList+Integer+DetectionList+Integer+String+String+String+String+String+String+String+Float+Any+Any+Image+Image+Any+Integer+Integer+Integer+Any+String+String+String+String+Any+Any+String,10,1,0,0,0,NR,PF
OcrRecognition,AI推理,1,2,0,String+Boolean,0,0,0,0,0,NR,PF
SemanticSegmentation,AI推理,1,12,12,Image+Image+Any+Integer+Integer+Integer+Any+String+String+String+String+Any,1,0,0,0,0,NR,PF
EuclideanClusterExtraction,3D点云,1,3,4,Any+Integer+Any,2,0,0,0,0,NR,PF
PPFEstimation,3D点云,1,3,3,Any+Any+Integer,2,0,0,0,0,NR,PF
PPFMatch,3D点云,2,16,10,Boolean+Boolean+Float+Integer+String+String+Boolean+Boolean+Float+Float+Float+Any+Integer+Float+Integer+Float,2,0,0,0,0,NR,PF
RansacPlaneSegmentation,3D点云,1,8,4,Float+Float+Float+Float+Integer+Float+Any+Any,0,0,0,0,0,NR,PF
StatisticalOutlierRemoval,3D点云,1,3,2,Any+Integer+Integer,2,0,0,0,0,NR,PF
VoxelDownsample,3D点云,1,2,1,Any+Integer,1,0,0,0,0,NR,PF
Aggregator,数据处理,3,6,1,Any+Any+Float+Float+Float+Integer,0,0,0,0,0,NR,PF
ArrayIndexer,数据处理,1,3,3,Any+Boolean+Integer,2,0,0,0,0,NR,PF
BoxFilter,数据处理,2,3,9,DetectionList+Image+Integer,3,1,0,0,0,NR,PF
BoxNms,数据处理,3,7,4,DetectionList+Image+Integer+Integer+Integer+DetectionList+Any,0,1,0,0,0,NR,PF
Comparator,数据处理,2,2,5,Boolean+Float,0,0,0,0,0,NR,PF
JsonExtractor,数据处理,1,2,4,Any+Boolean,0,0,0,0,0,NR,PF
LogicGate,数据处理,2,1,1,Boolean,3,0,0,0,0,NR,PF
MathOperation,数据处理,2,2,1,Float+Boolean,7,0,0,0,0,NR,PF
PointSetTool,数据处理,2,4,6,PointList+Integer+Point+Rectangle,0,0,4,0,0,R03-OAR009,PF
ScriptOperator,数据处理,4,2,3,Any+Any,0,0,0,0,0,NR,PF
Statistics,数据处理,1,7,5,Float+Float+Integer+Float+Float+Float+Boolean,8,0,0,0,0,NR,PF
StringFormat,数据处理,2,1,1,String,2,0,1,0,0,F03+F04+F05-OAR012,PF
TimerStatistics,数据处理,1,4,4,Float+Float+Float+Integer,0,1,0,0,0,NR,PF
TypeConvert,数据处理,1,6,2,Any+String+Float+Integer+Boolean+String,0,0,0,0,0,NR,PF
UnitConvert,数据处理,2,2,4,Float+String,1,0,0,0,0,NR,PF
VariableIncrement,数据处理,0,5,7,String+Integer+Integer+Integer+Boolean,1,0,1,0,0,OAR013-FIXED,PF
VariableRead,数据处理,0,12,10,Any+Any+Boolean+Integer+String+String+Integer+String+String+String+String+Boolean,1,0,0,0,0,NR,PF
VariableWrite,数据处理,1,11,12,String+Any+Integer+String+String+Integer+String+String+Boolean+String+String,0,0,0,0,0,OAR014-FIXED,PF
ConditionalBranch,流程控制,2,5,12,Any+Any+Boolean+String+String,14,0,0,0,0,F02,PF
CycleCounter,流程控制,0,5,2,Integer+Integer+Boolean+Integer+Float,0,0,0,0,0,NR,PF
Delay,流程控制,1,2,1,Any+Integer,0,0,0,0,0,NR,PF
ForEach,流程控制,1,1,4,Any,6,0,0,0,0,OAR001-FIXED,PF
FrameChangeTrigger,流程控制,1,10,20,Image+Boolean+Float+Integer+String+Boolean+Integer+Integer+Integer+Float,3,1,0,0,1,INT01-INTERNAL-CATALOG-EXCLUSION,PF
ResultJudgment,流程控制,2,5,8,String+Boolean+Boolean+String+String,2,0,0,0,0,NR,PF
TriggerModule,流程控制,1,3,3,Boolean+String+Integer,2,0,0,0,0,NR,PF
TryCatch,流程控制,1,4,3,Any+Any+String+Boolean,0,0,0,0,0,NR,PF
HttpRequest,通信,2,3,6,String+Integer+Boolean,0,0,1,3,0,F06+OAR002-INTENTIONAL,PS
MitsubishiMcCommunication,通信,1,2,13,String+Boolean,3,0,1,1,0,OAR005-INTENTIONAL,PS
ModbusCommunication,通信,1,2,9,String+Boolean,3,0,0,0,0,NR,PS
MqttPublish,通信,2,1,6,Boolean,0,0,2,1,0,OAR006+OAR007-PLACEHOLDER-DISABLED,PS
OmronFinsCommunication,通信,1,2,13,String+Boolean,3,0,3,1,0,OAR008-INTENTIONAL+RESIDUAL,PS
SerialCommunication,通信,1,1,9,Any,4,0,0,0,0,NR,PS
SiemensS7Communication,通信,1,2,15,String+Boolean,3,0,3,1,0,NR,PS
TcpCommunication,通信,1,12,39,String+Boolean+String+String+Boolean+Any+Any+String+Any+Boolean+String+String,16,0,0,0,0,NR,PS
Comment,输出与辅助,1,2,1,Any+String,0,0,0,0,0,NR,PF
DatabaseWrite,输出与辅助,2,2,3,Boolean+String,3,0,0,0,0,NR,PS
ImageSave,输出与辅助,1,2,3,String+Boolean,6,0,1,0,0,OAR003-INTENTIONAL+OAR004-FIXED,PS
ResultOutput,输出与辅助,4,6,3,Any+Image+Any+String+Any+String,1,1,0,0,0,NR,PF
TextSave,输出与辅助,2,2,5,String+Boolean,0,0,0,0,0,NR,PS
